point_id,latitude,longitude,demand
0,40.4,49.85,0
1,40.387454011884735,49.88631034258756,8
2,40.44507143064099,49.86232981268275,5
3,40.42319939418114,49.83308980248526,4
4,40.409865848419706,49.8063558350286,2
5,40.365601864044244,49.83109823217156,6
6,40.36559945203362,49.832518332202675,6
7,40.35580836121682,49.872960617833805,1
8,40.43661761457749,49.86375574713552,9
9,40.41011150117432,49.888721274257634,6
10,40.42080725777961,49.84722149251619,3
11,40.352058449429585,49.81195942459383,4
12,40.4469909852162,49.8713244787223,4
13,40.433244264080045,49.87607850486169,3
14,40.37123391106783,49.85612771975695,3
15,40.36818249672071,49.87709671799546,3
16,40.36834045098534,49.84937955963644,4
17,40.38042422429596,49.8522732829382,7
18,40.40247564316323,49.84275410183585,4
19,40.393194501864215,49.80254191267441,9
20,40.3791229140198,49.81078914269933,1
21,40.41118528947224,49.80314291856867,8
22,40.36394938606521,49.86364104112638,7
23,40.379214464853526,49.83143559810763,2
24,40.38663618432937,49.850857069116465,8
25,40.395606998421705,49.89075664739261,1
26,40.4285175961393,49.82492922291488,9
27,40.36996737821584,49.84103829230356,9
28,40.40142344384137,49.875555113854304,2
29,40.40924145688621,49.82287981654916,7
30,40.354645041272,49.807697990982874,3
31,40.41075448519015,49.82897514529137,7
32,40.36705241236873,49.8161221287254,9
33,40.35650515929853,49.892969765234255,4
34,40.444888553725335,49.88081203795644,1
35,40.446563203307456,49.86334037565104,2
36,40.43083973481165,49.88714605901877,1
37,40.38046137691734,49.88036720768991,5
38,40.35976721140064,49.8186570058886,5
39,40.41842330265122,49.889255899849,7
40,40.394015249373965,49.85393422419156,9
41,40.36220382348448,49.880744015516406,9
42,40.39951769101113,49.88960912999235,3
43,40.35343885211152,49.831800347497186,3
44,40.44093204020788,49.81100519245277,3
45,40.37587799816,49.822793516254194,4
46,40.416252228435404,49.842710778862624,8
47,40.38117110760894,49.881801476592244,6
48,40.40200680211778,49.886073058325636,8
49,40.40467102793433,49.80069521305312,1
50,40.36848544555255,49.85107473025776,8
51,40.44695846277646,49.84174110031488,4
52,40.427513282336115,49.82221078104707,1
53,40.44394989415642,49.811986536733365,8
54,40.439482735042766,49.83376151714036,4
55,40.40978999788111,49.89429097039125,6
56,40.44218742350231,49.83232029320207,8
57,40.358849250205196,49.85187906217433,4
58,40.36959828624192,49.87030189588952,3
59,40.354522728891055,49.83636296023793,9
60,40.38253303307633,49.897178208272095,3
61,40.38886772896895,49.89624472949421,9
62,40.37713490317739,49.825178229582534,2
63,40.43287375091519,49.84972485058923,2
64,40.38567533266936,49.830087830981675,2
65,40.37809345096874,49.82848404943775,6
66,40.40426960831583,49.80368869473545,3
67,40.36409242249748,49.86095643339799,9
68,40.430219698075405,49.850267902322884,4
69,40.357455064367976,49.805147875124995,1
70,40.44868869366005,49.827864646423656,4
71,40.427224476929666,49.89082658859667,1
72,40.36987156815342,49.82395618906669,5
73,40.35055221171236,49.81448948720912,4
74,40.431546142845484,49.848945276027756,8
75,40.42068573438476,49.89856504541106,8
76,40.4229007168041,49.82420552715115,7
77,40.427127034668594,49.86721355474059,3
78,40.35740446517341,49.87616196153287,1
79,40.385846572854426,49.82376375439924,1
80,40.361586905952514,49.87282163486118,3
